
 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	1.48e+04	0.00e+00	3.81e-06	1.00e+00	  0
  2.0	1.46e+04	1.82e-06	3.81e-06	9.89e-01	  0
  3.0	1.45e+04	4.21e-06	3.81e-06	9.79e-01	  0
  4.0	1.43e+04	1.07e-05	3.81e-06	9.69e-01	  0

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	1.38e+04	0.00e+00	1.91e-06	1.00e+00	  0
  2.0	1.34e+04	5.33e-09	1.91e-06	9.72e-01	  0
  3.0	1.32e+04	8.24e-07	1.91e-06	9.62e-01	  0
  4.0	1.31e+04	1.84e-06	1.91e-06	9.53e-01	  0
