
 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
   .1	1.39e+04	5.96e-04			9.75e-01
  3.0	1.39e+04	5.96e-04	4.88e-04	9.75e-01	  0
   .1	1.38e+04	1.49e-03			9.65e-01
  4.0	1.38e+04	1.49e-03	4.88e-04	9.65e-01	  0
   .1	1.36e+04	2.34e-03			9.55e-01

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	1.36e+04	0.00e+00	2.44e-04	1.00e+00	  0
   .1	1.35e+04	1.11e-04			9.90e-01
  2.0	1.35e+04	1.11e-04	2.44e-04	9.90e-01	  0
   .1	1.33e+04	4.01e-04			9.78e-01
  3.0	1.33e+04	4.01e-04	2.44e-04	9.78e-01	  0
   .1	1.32e+04	8.68e-04			9.66e-01
  4.0	1.32e+04	8.68e-04	2.44e-04	9.66e-01	  0
   .1	1.30e+04	1.62e-03			9.54e-01

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	1.30e+04	0.00e+00	1.22e-04	1.00e+00	  0
   .1	1.28e+04	4.96e-05			9.88e-01
  2.0	1.28e+04	4.96e-05	1.22e-04	9.88e-01	  0
   .1	1.27e+04	1.16e-04			9.79e-01
  3.0	1.27e+04	1.16e-04	1.22e-04	9.79e-01	  0
   .1	1.26e+04	2.95e-04			9.70e-01
  4.0	1.26e+04	2.95e-04	1.22e-04	9.70e-01	  0
   .1	1.25e+04	4.81e-04			9.61e-01

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	1.25e+04	0.00e+00	6.10e-05	1.00e+00	  0
   .1	1.24e+04	2.28e-05			9.91e-01
  2.0	1.24e+04	2.28e-05	6.10e-05	9.91e-01	  0
   .1	1.23e+04	5.41e-05			9.82e-01
  3.0	1.23e+04	5.41e-05	6.10e-05	9.82e-01	  0
   .1	1.22e+04	1.37e-04			9.73e-01
  4.0	1.22e+04	1.37e-04	6.10e-05	9.73e-01	  0
   .1	1.20e+04	2.58e-04			9.63e-01

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	1.20e+04	0.00e+00	3.05e-05	1.00e+00	  0
   .1	1.19e+04	1.05e-05			9.90e-01
  2.0	1.19e+04	1.05e-05	3.05e-05	9.90e-01	  0
   .1	1.18e+04	2.24e-05			9.82e-01
  3.0	1.18e+04	2.24e-05	3.05e-05	9.82e-01	  0
   .1	1.17e+04	5.92e-05			9.74e-01
  4.0	1.17e+04	5.92e-05	3.05e-05	9.74e-01	  0
   .1	1.16e+04	8.76e-05			9.67e-01

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	1.16e+04	0.00e+00	1.53e-05	1.00e+00	  0
   .1	1.15e+04	4.92e-06			9.92e-01
